DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-07,105.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-08,105.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-09,105.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-10,105.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-11,104.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-12,104.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-01,103.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-02,103.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-03,104.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-04,105.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-05,105.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-06,106.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-07,106.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-08,106.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-09,106.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-10,106.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-11,105.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2019-12,106.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-01,105.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-02,105.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-03,105.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-04,106.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-05,106.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-06,106.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2020-07,106.4
